Title,Equation,Description,Source
Advanced Stochastic Integration,"The Ito integral for simple processes:
I_t = ∫_0^t H_s dW_s = Σ_{i=0}^{n-1} H_{t_i}(W_{t_{i+1}} - W_{t_i})
For simple predictable processes H_s that are constant on intervals [t_i, t_{i+1}), the Ito integral is defined as a sum of discrete increments weighted by the process values. The non-anticipating property ensures H_{t_i} is known before the increment W_{t_{i+1}} - W_{t_i} occurs.","Ito isometry: E[(∫_0^t H_s dW_s)²] = E[∫_0^t H_s² ds] This fundamental identity ensures that the Ito integral is well-defined for processes H in L² space. The isometry extends to: E[∫_0^t H_s dW_s ∫_0^t K_s dW_s] = E[∫_0^t H_s K_s ds], enabling the definition of stochastic integration as an isometry between L² spaces.",eq3/kimi-primer/financial-derivatives-pricing-primer.md
Untitled Equation,"Sobol sequence generation employs a more sophisticated approach using primitive polynomials over F_2. For dimension j, select a primitive polynomial P_j(x) = x^d + a_1 x^{d-1} + ... + a_{d-1} x + 1 of degree d_j in F_2[x]. The direction numbers v_{j,k} are generated via the recurrence:
v_{j,k} = a_1 v_{j,k-1} ⊕ a_2 v_{j,k-2} ⊕ ... ⊕ a_{d_j-1} v_{j,k-d_j+1} ⊕ v_{j,k-d_j} ⊕ (v_{j,k-d_j}/2^{d_j})",,eq3/qmc-primer.txt
Variables:,- \(T_1\): Maturity of compound option - \(T_2\): Maturity of underlying option (\(T_2 > T_1\)) - \(K_1\): Strike of compound option - \(K_2\): Strike of underlying option - \(S^*\): Critical stock price at \(T_1\) such that underlying option price equals \(K_1\) \text{Fair Variance Strike } K_{\text{var}} = \frac{2}{T} \left( \int_0^F \frac{P(K)}{K^2} dK + \int_F^\infty \frac{C(K)}{K^2} dK \right),Variables: ; Explanation: * Compound options are options on options. The Geske formula uses the bivariate normal distribution to account for the correlation between the stock price at the two dates.,eq3/iflow-primer/formulas_v2.csv; eq3/iflow-primer/formulas.csv
Untitled Equation,"Dupire's PDE for Call Prices
\frac{\partial C}{\partial T} = \frac{1}{2}\sigma_{loc}^2(S,T) S^2 \frac{\partial^2 C}{\partial S^2} - rS \frac{\partial C}{\partial S} + rC
This forward PDE must be satisfied by the call price surface C(S,T). Given market-observed prices, Dupire's local volatility formula can be used to compute \sigma_{loc}(S,T), which then satisfies this PDE by construction.",,eq3/asian-options-phd-equations.md
Variables:,"- \(M(a,b;\rho)\): Bivariate normal cumulative distribution function with correlation \(\rho\) #### 3. Digital and Binary Options C_{\text{CN}} = e^{-r(T-t)} \Phi(d_2) C_{\text{AN}} = S_t e^{-q(T-t)} \Phi(d_1) C_{\text{gap}} = S_t e^{-q(T-t)} \Phi(d_1) - K_2 e^{-r(T-t)} \Phi(d_2) d_1 = \frac{\ln(S_t/K_1) + (r-q+\sigma^2/2)(T-t)}{\sigma\sqrt{T-t}}, \quad d_2 = d_1 - \sigma\sqrt{T-t}",,eq3/iflow-primer/formulas.csv
Variables:,- \(N\): Notional (variance notional) - \(n\): Number of sampling points #### 2. Volatility Swaps \text{Fair Volatility Strike } K_{\text{vol}} \approx \sqrt{K_{\text{var}}} - \frac{\text{Var}(\sqrt{\text{Realized Variance}})}{2 K_{\text{vol}}^{3/2}} #### 3. VIX Calculation \text{VIX}^2 = \frac{2}{T} \sum_i \frac{\Delta K_i}{K_i^2} e^{rT} Q(K_i) - \frac{1}{T} \left( \frac{F}{K_0} - 1 \right)^2,,eq3/iflow-primer/formulas.csv
Untitled Equation,"Asian Option Forward Start
\bar{A}_{T_2}^{FS} = \frac{1}{T_2 - T_1} \int_{T_1}^{T_2} S_t dt
where T_1 is the start date and T_2 is the maturity. Forward-start Asian options have averaging that begins at a future date rather than inception. The pricing formula incorporates the forward price starting at T_1: \mathbb{E}[\bar{A}_{T_2}^{FS}] = \frac{F(T_1, T_2)}{T_2 - T_1} where F is the forward price.",,eq3/asian-options-phd-equations.md
Lookback Options,"Floating Strike Lookback Call Payoff:
S_T - min_{0≤t≤T} S_t
The payoff is the difference between the terminal price and the minimum price achieved during the option's life. This option guarantees buying at the lowest price. Under Black-Scholes, the price is:
C_{float} = S_0 e^{-qT}N(a₁) - S_0 e^{-qT}(σ²/(2(r-q)))N(-a₁) - S_0 e^{-qT}(1 - σ²/(2(r-q)))e^{(r-q)T}N(-a₂)
where a₁ = (r-q+σ²/2)√T/σ and a₂ = (r-q-σ²/2)√T/σ.","Fixed Strike Lookback Call Payoff: max(max_{0≤t≤T} S_t - K, 0) The payoff is the maximum price appreciation above the fixed strike K. The pricing formula involves the distribution of the running maximum and reflection principle. The value is: C_{fixed} = S_0 e^{-qT}N(b₁) - Ke^{-rT}N(b₂) + S_0 e^{-rT}(σ²/(2(r-q)))[e^{(r-q)T}N(b₃) - N(b₄)] with appropriate definitions of b₁ through b₄ incorporating the maximum distribution.",eq3/kimi-primer/financial-derivatives-pricing-primer.md
Untitled Equation,"Variance of Geometric Average (Discrete Sampling)
\text{Var}(\ln \bar{G}_T) = \frac{\sigma^2}{N^2} \sum_{i,j=1}^N \min(t_i, t_j)
where N is the number of observation points. For equally spaced observations t_i = iT/N, this simplifies to: \text{Var}(\ln \bar{G}_T) = \frac{\sigma^2 T}{N^2} \sum_{i=1}^N (2i-1) = \frac{\sigma^2 T (2N+1)(N-1)}{6N^2}. The discrete variance converges to \sigma^2 T/3 as N \to \infty.",,eq3/asian-options-phd-equations.md
Untitled Equation,"Monte Carlo Path Generation for Asian Options
S_{t_{i+1}} = S_{t_i} \exp\left[\left(r - \frac{\sigma^2}{2}\right)\Delta t_i + \sigma \sqrt{\Delta t_i} Z_i\right]
where \Delta t_i = t_{i+1} - t_i and Z_i \sim N(0,1) are independent normal draws. For Asian option pricing, the running average \bar{A}_n = \frac{1}{n} \sum_{i=1}^n S_{t_i} is computed and updated at each observation point. The final payoff is evaluated using the complete average.",,eq3/asian-options-phd-equations.md
Untitled Equation,"Cointegrating Vector
\beta = -\frac{\text{Cov}(\sum_{t=1}^T y_{1t}, \sum_{t=1}^T y_{2t})}{\text{Var}(\sum_{t=1}^T y_{2t})}
where y_{1t} and y_{2t} are log price series of two assets. The cointegrating vector \beta defines the hedge ratio for a stationary spread: z_t = y_{1t} - \beta y_{2t}. This spread is stationary even though individual prices are non-stationary random walks, enabling mean-reversion trading.",,eq3/asian-options-phd-equations.md
Untitled Equation,"Moment Matching Approximation:
E[A] = S_0 (1/n) Σ_{i=1}^n e^{rt_i}
Var(A) = (1/n²)[Σ Var(S_i) + 2 Σ_{i<j} Cov(S_i,S_j)]
The moment matching approach approximates the arithmetic average distribution as lognormal by matching the first two moments. Under geometric Brownian motion, E[S(t_i)] = S_0 e^{rt_i} and Cov(S_i,S_j) = S_0² e^{r(t_i+t_j)}[e^{σ²min(t_i,t_j)} - 1]. This enables closed-form approximation pricing.",,eq3/kimi-primer/financial-derivatives-pricing-primer.md
Variables:,- \(y_{t_i}\): Yield at key maturity \(t_i\) C = \frac{1}{P} \frac{\partial^2 P}{\partial y^2} = \frac{1}{P} \sum_{i=1}^n \frac{T_i(T_i+1) CF_i}{(1+y)^{T_i+2}} \text{DV01} = -\frac{\partial P}{\partial y} \times 0.0001 \approx D_{\text{Mod}} \times P \times 0.0001 y(\tau) = \beta_0 + \beta_1 \left( \frac{1 - e^{-\lambda \tau}}{\lambda \tau} \right) + \beta_2 \left( \frac{1 - e^{-\lambda \tau}}{\lambda \tau} - e^{-\lambda \tau} \right),Variables: ; Explanation: * DV01 measures the change in bond price (in currency units) for a 1 basis point (0.01%) change in yield. Used for hedging and risk management.,eq3/iflow-primer/formulas_v2.csv
Variables:,"- \(Q(K_i)\): Midpoint of bid-ask spread for out-of-the-money option with strike \(K_i\) - \(K_0\): First strike below forward price \(F\) \sigma_{\text{loc}}(K, T)^2 = \frac{\frac{\partial C}{\partial T} + (r-q)K \frac{\partial C}{\partial K} + qC}{\frac{1}{2} K^2 \frac{\partial^2 C}{\partial K^2}} dS_t = (r-q) S_t dt + \sqrt{v_t} S_t dW_t^S dv_t = \kappa (\theta - v_t) dt + \xi \sqrt{v_t} dW_t^v dW_t^S dW_t^v = \rho dt","Variables: ; Explanation: * Dupire's formula extracts the unique deterministic volatility surface \(\sigma(S,t)\) that matches all observed vanilla option prices. It is derived from the forward PDE for call prices.",eq3/iflow-primer/formulas_v2.csv
Untitled Equation,"Kalman Filter State Update for Cointegration
\beta_{t|t} = \beta_{t|t-1} + K_t (y_{2t} - \beta_{t|t-1} y_{1t})
where K_t = P_{t|t-1} y_{1t} (y_{1t}^T P_{t|t-1} y_{1t} + R)^{-1} is Kalman gain, P_{t|t-1} is prior covariance matrix, and R is observation noise variance. The Kalman gain optimally balances between prior hedge ratio estimate and new price information, giving more weight to observations when uncertainty is high.",,eq3/asian-options-phd-equations.md
Untitled Equation,"Moment Matching for Floating Strike Asian Options
C_{float} \approx e^{-rT} \mathbb{E}[\max(S_T - \bar{A}_T, 0)] = e^{-rT} \left[\mathbb{E}[S_T] N(d_1') - \mathbb{E}[\bar{A}_T] N(d_2')\right]
where d_1' and d_2' are adjusted to account for the correlation between S_T and \bar{A}_T. The correlation \rho = \text{Corr}(S_T, \bar{A}_T) = \sqrt{\frac{3}{4 + (r/\sigma^2)(1 - e^{-2rT})}} plays a crucial role in floating strike pricing.",,eq3/asian-options-phd-equations.md
Cross-currency basis:,"The no-arbitrage condition for cross-currency basis swaps:
(1 + r_{USD}^{OIS})^T = (1 + r_{EUR}^{OIS})^T \times \frac{FX_{spot}}{FX_{forward}} \times (1 + \text{basis}_{EUR/USD})^T
This equation demonstrates how deviations from covered interest rate parity create persistent cross-currency basis, where the basis term represents the market-clearing price for exchanging EUR versus USD funding across different tenors.","The dynamic evolution of cross-currency basis under funding constraints: d\text{basis}_{i/j} = \kappa (\text{basis}_{i/j}^{long-run} - \text{basis}_{i/j}) dt + \sigma dW_t + \text{jump terms} This mean-reverting process captures both the temporary nature of funding dislocations and the structural components driving persistent basis levels, where jump terms represent funding market stress events.",eq3/fixed_income_repo_funding.md
Untitled Equation,"Vanna and Volga in Black-Scholes
\text{Vanna}_{BS} = -e^{-rT} N'(d_1) \sqrt{T} \left(1 - \frac{d_1}{\sigma\sqrt{T}}\right)
\text{Volga}_{BS} = \text{Vega}_{BS} \cdot \frac{d_1 d_2}{\sigma}
where N'(\cdot) is the standard normal PDF. These expressions show that Vanna and Volga both decay to zero as T \to 0 (very short maturities), which is why the Vanna-Volga method works best for liquid tenors where these sensitivities are meaningful.",,eq3/asian-options-phd-equations.md
Untitled Equation,"Black-Scholes Implied Volatility Equation
C_{BS}(S_0, K, T, r, \sigma) = S_0 N(d_1) - Ke^{-rT} N(d_2)
with d_1 = \frac{\ln(S_0/K) + (r + \sigma^2/2)T}{\sigma\sqrt{T}}, d_2 = d_1 - \sigma\sqrt{T}
This is the fundamental equation that defines implied volatility. For a given market price C^{mkt}(K, T), we numerically invert this equation to find \sigma_{imp}(K, T). The smile emerges when \sigma_{impl} varies systematically with K and T.",,eq3/asian-options-phd-equations.md
Untitled Equation,"Asian Option Theta (Geometric)
\Theta_{geo} = -\frac{e^{(r - \frac{\sigma^2}{2})\frac{T}{2} + \frac{v^2}{2}} N(d_1) S_0 \left(r - \frac{\sigma^2}{2} + \frac{v^2}{T}\right) + rKe^{-rT} N(d_2)
where the time decay incorporates both standard option theta effects and the reduction in averaging period as T approaches. Asian options typically have smaller theta in magnitude than vanilla options because the average already incorporates price history.",,eq3/asian-options-phd-equations.md
Variables:,"- \(u, d\): Up and down factors - \(p\): Risk-neutral probability of up move - \(\Delta t\): Time step length - \(V_{i,j}\): Option value at node \(i\) (time step) and \(j\) (price level) \frac{\partial V}{\partial t} + (r-q)S \frac{\partial V}{\partial S} + \frac{1}{2} \sigma^2 S^2 \frac{\partial^2 V}{\partial S^2} - rV = 0 \text{Discretization: } \frac{V^{n+1}_j - V^n_j}{\Delta t} + \theta L V^{n+1}_j + (1-\theta) L V^n_j = 0, \quad \theta = 0.5",,eq3/iflow-primer/formulas.csv
Untitled Equation,"Optimal Execution with CVaR Constraints
\min_{x} \mathbb{E}\left[\sum_{t=1}^T p_t x_t\right] \quad \text{s.t.} \quad \text{CVaR}_\alpha\left(\sum_{t=1}^T p_t x_t - \mathbb{E}[\sum_{t=1}^T p_t x_t]\right) \leq C
where p_t is random execution price, x_t is trade schedule, and C is maximum allowed tail risk. This formulation trades off expected execution cost against extreme tail risk, which is crucial for large orders where market impact can be highly uncertain.",,eq3/asian-options-phd-equations.md
Variables:,"- \(K(t)\): Time-dependent default barrier (often exponential) \mathbb{Q}(\tau > T) = \Phi\left( \frac{\ln(V_0/K(0)) + (\mu - \sigma^2/2)T}{\sigma\sqrt{T}} \right) - \left( \frac{K(0)}{V_0} \right)^{2\mu/\sigma^2 - 1} \Phi\left( \frac{\ln(K(0)/V_0) + (\mu - \sigma^2/2)T}{\sigma\sqrt{T}} \right) #### 3. Duffie-Singleton Reduced-Form Model \text{Defaultable bond price: } \tilde{P}(t,T) = \mathbb{E}^{\mathbb{Q}}\left[ e^{-\int_t^T (r_s + \lambda_s) ds} \middle| \mathcal{F}_t \right]",,eq3/iflow-primer/formulas.csv
Variables:,"- \(S_t\): Underlying asset price at time \(t\) - \(K\): Strike price - \(T\): Maturity time - \(r\): Risk-free interest rate (constant) - \(q\): Continuous dividend yield - \(\sigma\): Volatility of underlying returns - \(\Phi(\cdot)\): Cumulative distribution function of standard normal C(F_t, K, T, r, \sigma) = e^{-r(T-t)} [F_t \Phi(d_1) - K \Phi(d_2)] d_1 = \frac{\ln(F_t/K) + (\sigma^2/2)(T-t)}{\sigma \sqrt{T-t}}, \quad d_2 = d_1 - \sigma \sqrt{T-t}",,eq3/iflow-primer/formulas.csv
Untitled Equation,"Delta of Geometric Asian Option
\Delta_{geo} = e^{(r - \frac{\sigma^2}{2})\frac{T}{2} + \frac{v^2}{2}} N(d_1)
where v^2 = \frac{\sigma^2 T}{3} and d_1 = \frac{\ln S_0 + (r - \frac{\sigma^2}{2})\frac{T}{2} + v^2 - \ln K}{v}. The delta of a geometric Asian option measures sensitivity to the current spot price. Unlike vanilla options, this delta incorporates the averaging horizon and reduces in magnitude compared to vanilla options due to the averaging effect.",,eq3/asian-options-phd-equations.md
Variables:,- \(\tau\): Time to maturity - \(\beta_0\): Level factor (long-term yield) - \(\beta_1\): Slope factor (short-term component) - \(\beta_2\): Curvature factor - \(\lambda\): Decay parameter (controls hump location) y(\tau) = \beta_0 + \beta_1 \left( \frac{1 - e^{-\lambda_1 \tau}}{\lambda_1 \tau} \right) + \beta_2 \left( \frac{1 - e^{-\lambda_1 \tau}}{\lambda_1 \tau} - e^{-\lambda_1 \tau} \right) + \beta_3 \left( \frac{1 - e^{-\lambda_2 \tau}}{\lambda_2 \tau} - e^{-\lambda_2 \tau} \right),"Variables: ; Explanation: * Nelson-Siegel provides a parsimonious parametric form for the yield curve with interpretable factors. It ensures smoothness and can capture various curve shapes (normal, inverted, humped).",eq3/iflow-primer/formulas_v2.csv; eq3/iflow-primer/formulas.csv
Characteristic Function,"\phi(u) = \exp\left( iu \ln S_t + C(u,\tau) + D(u,\tau) v_t \right) C(u,\tau) = (r-q) i u \tau + \frac{\kappa \theta}{\xi^2} \left( (\kappa - \rho \xi i u - d) \tau - 2 \ln \frac{1 - g e^{-d\tau}}{1 - g} \right) D(u,\tau) = \frac{\kappa - \rho \xi i u - d}{\xi^2} \frac{1 - e^{-d\tau}}{1 - g e^{-d\tau}} d = \sqrt{(\rho \xi i u - \kappa)^2 + \xi^2 (i u + u^2)}, \quad g = \frac{\kappa - \rho \xi i u - d}{\kappa - \rho \xi i u + d} dF_t = \alpha_t F_t^\beta dW_t^F d\alpha_t = \nu \alpha_t dW_t^\alpha dW_t^F dW_t^\alpha = \rho dt","Variables: ; Explanation: * Heston model assumes volatility follows a square-root process (CIR). The characteristic function is known in closed form, allowing pricing via Fourier inversion (e.g., FFT). It generates volatility smiles and term structures.",eq3/iflow-primer/formulas_v2.csv
Variables:,"- \(\lambda_t\): Hazard rate (default intensity) process \lambda_t = \lambda(t, X_t) \text{ where } X_t \text{ is a state vector} \mathbb{Q}(\tau > T) = \mathbb{E}^{\mathbb{Q}}\left[ e^{-\int_0^T \lambda_s ds} \right] #### 4. Credit Default Swap (CDS) Pricing \text{CDS Spread } s = \frac{(1-R) \int_0^T \mathbb{E}^{\mathbb{Q}}[ e^{-\int_0^t r_s ds} \lambda_t e^{-\int_0^t \lambda_s ds} ] dt}{\int_0^T \mathbb{E}^{\mathbb{Q}}[ e^{-\int_0^t r_s ds} e^{-\int_0^t \lambda_s ds} ] dt}",,eq3/iflow-primer/formulas.csv
Variables:,"- \(\theta(t)\): Time-dependent function calibrated to fit initial yield curve P(t,T) = \frac{P(0,T)}{P(0,t)} \exp\left( B(t,T) f(0,t) - \frac{\sigma^2}{4\kappa} B(t,T)^2 (1 - e^{-2\kappa t}) - B(t,T) r_t \right) B(t,T) = \frac{1 - e^{-\kappa(T-t)}}{\kappa} #### 4. Two-Factor Gaussian Model (G2++) r_t = x_t + y_t + \varphi(t) dx_t = -\kappa_1 x_t dt + \sigma_1 dW_t^{1,\mathbb{Q}} dy_t = -\kappa_2 y_t dt + \sigma_2 dW_t^{2,\mathbb{Q}} dW_t^{1,\mathbb{Q}} dW_t^{2,\mathbb{Q}} = \rho dt",,eq3/iflow-primer/formulas.csv
Untitled Equation,"Moment Matching Approximation (Levy)
\bar{A}_T \approx e^{\mu_M + \sigma_M Z}
where Z \sim N(0,1), \mu_M = \frac{1}{T} \mathbb{E}[\int_0^T \ln S_t dt] = \ln S_0 + (r - \frac{\sigma^2}{2})\frac{T}{2}, and \sigma_M^2 = \text{Var}(\frac{1}{T}\int_0^T \ln S_t dt) = \frac{\sigma^2 T}{3}. The Levy (1992) method approximates the arithmetic average by a lognormal distribution with matching first two moments. This approximation is accurate when the coefficient of variation is small.",,eq3/asian-options-phd-equations.md
Variables:,"- \(K_1\): Trigger strike (determines if option pays off) - \(K_2\): Payment strike (amount paid if triggered) #### 4. Compound Options C_{\text{compound}} = S_t e^{-qT_2} M\left( a_1, b_1; \sqrt{T_1/T_2} \right) - K_2 e^{-r T_2} M\left( a_2, b_2; \sqrt{T_1/T_2} \right) - e^{-r T_1} K_1 \Phi(a_2) a_1 = \frac{\ln(S_t/S^*) + (r-q+\sigma^2/2)T_1}{\sigma\sqrt{T_1}}, \quad a_2 = a_1 - \sigma\sqrt{T_1} b_1 = \frac{\ln(S_t/K_2) + (r-q+\sigma^2/2)T_2}{\sigma\sqrt{T_2}}, \quad b_2 = b_1 - \sigma\sqrt{T_2}",,eq3/iflow-primer/formulas.csv
Untitled Equation,"Asian Option Pricing via Moment Generating Function
M_{\bar{G}_T}(\theta) = \mathbb{E}[e^{\theta \ln \bar{G}_T}] = \exp\left(\theta \ln S_0 + \frac{\theta^2 \sigma^2 T}{6}\right)
where \bar{G}_T is the geometric average. The moment generating function characterizes all moments of the log-geometric average. Since \ln \bar{G}_T is normally distributed, its MGF has the characteristic form \exp(\mu \theta + \frac{1}{2}\sigma^2 \theta^2) with \mu = \ln S_0 and variance \frac{\sigma^2 T}{3}.",,eq3/asian-options-phd-equations.md
Untitled Equation,"Carr-Madan FFT Pricing
C(k, T) = \frac{e^{-\alpha k}}{\pi} \int_0^{\infty} e^{-i v k} \psi(v) dv
where k = \ln K, \alpha > 0 is a damping factor, and \psi(v) = \frac{e^{-rT} \phi_T(v - (\alpha + 1)i)}{\alpha^2 + \alpha - v^2 + i(2\alpha + 1)v}
This fast Fourier transform method enables efficient computation of option prices for a range of strikes simultaneously. It is particularly valuable for calibration and risk management applications where many option prices need to be computed quickly.",,eq3/jump-diffusion-primer.txt
Untitled Equation,"Asian Option Vega (Geometric)
\mathcal{V}_{geo} = e^{-rT} S_0 N(d_1) \frac{\partial d_1}{\partial \sigma} - e^{-rT} K N(d_2) \frac{\partial d_2}{\partial \sigma}
where \frac{\partial d_1}{\partial \sigma} = \frac{3}{T} \left[\frac{T}{2} + \frac{\sigma T}{3}\right] - \frac{d_1}{\sigma} and similarly for d_2. Vega for Asian options captures sensitivity to volatility, but the averaging reduces vega relative to vanilla options because the average has lower effective volatility than the underlying.",,eq3/asian-options-phd-equations.md
Untitled Equation,"Moment Matching Variance (Continuously Sampled Arithmetic Average)
\text{Var}(\bar{A}_T) = \frac{2S_0^2 e^{2rT}\sigma^2}{T^2} \left[\frac{e^{(2r+\sigma^2)T} - 1}{2(r+\sigma^2)} - \frac{e^{rT} - 1}{r}\right] - \left[\mathbb{E}(\bar{A}_T) - \frac{S_0(e^{rT} - 1)}{rT}\right]^2
The exact variance of the continuously sampled arithmetic average under geometric Brownian motion, which is used in moment matching methods. This expression captures the complex time-integral structure of the arithmetic average.",,eq3/asian-options-phd-equations.md
Untitled Equation,"Curran's Conditional Expectation Method
C_{arithmetic} = e^{-rT} \mathbb{E}\left[\max(\bar{G}_T + \mathbb{E}[\bar{A}_T - \bar{G}_T | \bar{G}_T] - K, 0)\right]
where the conditional expectation of the difference between arithmetic and geometric averages given the geometric average is computed analytically. Curran (1994) exploits the fact that \bar{A}_T and \bar{G}_T are correlated, and the conditional distribution of \bar{A}_T given \bar{G}_T can be approximated, yielding an efficient analytical approximation.",,eq3/asian-options-phd-equations.md
Untitled Equation,"Geometric Asian Option Pricing (Exact)
C_{geo} = e^{-rT} \mathbb{E}^Q[\max(\bar{G}_T - K, 0)]
Under the Black-Scholes model, \ln \bar{G}_T is normally distributed with mean m = \ln S_0 + (r - \frac{\sigma^2}{2})\frac{T}{2} and variance v^2 = \frac{\sigma^2 T}{3}. This allows closed-form pricing using the Black-Scholes formula with adjusted parameters. The call price is: C_{geo} = S_0 e^{(r - \frac{\sigma^2}{2})\frac{T}{2} + \frac{v^2}{2}} N(d_1) - Ke^{-rT} N(d_2) where d_1 = \frac{m + v^2 - \ln K}{v} and d_2 = d_1 - v.",,eq3/asian-options-phd-equations.md
Untitled Equation,"Importance Sampling for Out-of-the-Money Asian Options
S_{t_{i+1}} = S_{t_i} \exp\left[\left(r - \frac{\sigma^2}{2} + \theta_i\right)\Delta t_i + \sigma \sqrt{\Delta t_i} Z_i\right]
where \theta_i is a drift adjustment chosen to shift the distribution toward paths where \bar{A}_T \approx K. For out-of-the-money Asian calls, positive drift increases probability of positive payoffs. The likelihood ratio correction L = \exp\left[-\sum_{i=1}^N \theta_i Z_i \sqrt{\Delta t_i} - \frac{1}{2}\sum_{i=1}^N \theta_i^2 \Delta t_i\right] removes the bias.",,eq3/asian-options-phd-equations.md
Untitled Equation,"Antithetic Variates for Asian Options
C_{AV} = \frac{1}{2M} \sum_{j=1}^M \left[\max(\bar{A}_T^{(j)} - K, 0) + \max(\bar{A}_T^{\prime(j)} - K, 0)\right]
where \bar{A}_T^{\prime(j)} is computed using the antithetic path S_{t_{i+1}}^{\prime} = S_{t_i}^{\prime} \exp\left[\left(r - \frac{\sigma^2}{2}\right)\Delta t_i - \sigma \sqrt{\Delta t_i} Z_i\right]. The antithetic variate technique uses negatively correlated pairs, ensuring that if one sample produces a high payoff, the antithetic produces a low payoff, reducing variance through correlation.",,eq3/asian-options-phd-equations.md
Variables:,- \(y_{t_i}\): Yield at key maturity \(t_i\) #### 5. Convexity C = \frac{1}{P} \frac{\partial^2 P}{\partial y^2} = \frac{1}{P} \sum_{i=1}^n \frac{T_i(T_i+1) CF_i}{(1+y)^{T_i+2}} #### 6. DV01 (Dollar Value of 01) \text{DV01} = -\frac{\partial P}{\partial y} \times 0.0001 \approx D_{\text{Mod}} \times P \times 0.0001 ### C. Yield Curve Construction #### 1. Nelson-Siegel Model y(\tau) = \beta_0 + \beta_1 \left( \frac{1 - e^{-\lambda \tau}}{\lambda \tau} \right) + \beta_2 \left( \frac{1 - e^{-\lambda \tau}}{\lambda \tau} - e^{-\lambda \tau} \right),,eq3/iflow-primer/formulas.csv
Untitled Equation,"Viceira (2007) Optimal Execution with Market Impact
\min_{x} \mathbb{E}\left[\sum_{t=1}^T (\bar{p}_t - p_0)x_t\right] + \lambda \text{Var}\left[\sum_{t=1}^T (\bar{p}_t - p_0)x_t\right]
where x_t is trade size at time t, \bar{p}_t = p_0 + \eta \sum_{s=1}^t x_s is execution price with permanent linear market impact \eta, p_0 is initial mid-price, and \lambda is risk aversion parameter. The objective minimizes implementation shortfall (cost of execution) while penalizing variance, representing trade-off between price impact and execution timing risk.",,eq3/asian-options-phd-equations.md
Untitled Equation,"Variance Swap Pricing via Implied Volatility
\sigma_{VS}^2(T) = \frac{2}{T}\int_0^{\infty} \frac{1 - \Phi(-d_2)}{K^2} dK
where \Phi is the standard normal CDF and d_2 = \frac{\ln(F/K)}{\sigma_{imp}\sqrt{T}} - \frac{\sigma_{imp}\sqrt{T}}{2}. This formula, derived from the log-contract replication, expresses the fair variance swap strike as an integral over OTM options weighted by 1/K^2. Variance swaps provide direct exposure to realized volatility and are priced using the full implied volatility surface, not just ATMF volatility.",,eq3/asian-options-phd-equations.md
Untitled Equation,"Dynamically Adjusted Cointegration
y_{1t} = \beta_{0t} + \beta_{1t} y_{2t} + \epsilon_t, \quad \beta_{0t} = \beta_{0,t-1} + \eta_{0t}, \quad \beta_{1t} = \beta_{1,t-1} + \eta_{1t}
where both intercept \beta_{0t} and slope \beta_{1t} follow random walks with process noise \eta_{it}. This specification allows both the level (intercept) and hedge ratio (slope) of the cointegration relationship to evolve, capturing structural changes more flexibly than just allowing the slope to change. The Kalman filter can estimate both states simultaneously.",,eq3/asian-options-phd-equations.md
Untitled Equation,"Low-Discrepancy Sequences for Asian Options (Quasi-Monte Carlo)
\bar{A}_T^{(q)} = \frac{1}{N} \sum_{i=1}^N S_0 \exp\left[\left(r - \frac{\sigma^2}{2}\right)t_i + \sigma \sqrt{t_i} \Phi^{-1}(u_i^{(q)})\right]
where u_i^{(q)} are points from a low-discrepancy sequence (e.g., Sobol, Halton, Faure), and \Phi^{-1} is the inverse CDF of the standard normal. Quasi-Monte Carlo methods achieve convergence rate O(1/M) versus O(1/\sqrt{M}) for standard Monte Carlo, where M is the number of paths, significantly reducing computational requirements for Asian option pricing.",,eq3/asian-options-phd-equations.md
Untitled Equation,"Hurst Exponent for Mean Reversion vs. Trending
H = \lim_{k \to \infty} \frac{\log[R(k)/S(k)]}{\log(k)}, \quad R(k) = \max_{1 \leq i \leq T-k} \left(\sum_{j=1}^{i+k} y_j - \sum_{j=1}^i y_j\right) - \min_{1 \leq i \leq T-k} \left(\sum_{j=1}^{i+k} y_j - \sum_{j=1}^i y_j\right)
where R(k) is the range of partial sums over interval k, and S(k) is standard deviation. Hurst exponent H < 0.5 indicates mean reversion, H = 0.5 indicates random walk, and H > 0.5 indicates trending (persistence). Estimating H helps classify assets as suitable for mean-reversion versus momentum strategies.",,eq3/asian-options-phd-equations.md
Untitled Equation,"Kou Characteristic Function
\phi_T(u) = \exp(iu (\ln S_0 + (r - \frac{1}{2}\sigma^2 - \lambda \kappa)T) - \frac{1}{2}\sigma^2 u^2 T + \lambda T (\frac{p \eta_1}{\eta_1 - iu} + \frac{q \eta_2}{\eta_2 + iu} - 1))
where \kappa = \frac{p \eta_1}{\eta_1 - 1} + \frac{q \eta_2}{\eta_2 + 1} - 1
The closed-form characteristic function for the Kou model exploits the fact that the Laplace transform of the double exponential distribution is rational. This leads to efficient Fourier-based pricing methods and makes the model computationally attractive for practical applications.",,eq3/jump-diffusion-primer.txt
